Substrate,type
"InChI=1S/C11H10ClNO2/c1-2-15-11(14)10-6-7-5-8(12)3-4-9(7)13-10/h3-6,13H,2H2,1H3",indole
"InChI=1S/C11H10ClNO2/c1-2-15-11(14)10-6-7-5-8(12)3-4-9(7)13-10/h3-6,13H,2H2,1H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO3/c1-3-16-12(14)11-7-8-6-9(15-2)4-5-10(8)13-11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C12H13NO2/c1-3-15-12(14)11-8(2)13-10-7-5-4-6-9(10)11/h4-7,13H,3H2,1-2H3",indole
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3",indole
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3",indole
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3",indole
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3",indole
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3",indole
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2",indole
"InChI=1S/C11H15NSi/c1-13(2,3)11-8-9-6-4-5-7-10(9)12-11/h4-8,12H,1-3H3",indole
"InChI=1S/C11H15NSi/c1-13(2,3)11-8-9-6-4-5-7-10(9)12-11/h4-8,12H,1-3H3",indole
"InChI=1S/C11H15NSi/c1-13(2,3)11-8-9-6-4-5-7-10(9)12-11/h4-8,12H,1-3H3",indole
"InChI=1S/C11H15NSi/c1-13(2,3)11-8-9-6-4-5-7-10(9)12-11/h4-8,12H,1-3H3",indole
"InChI=1S/C11H15NSi/c1-13(2,3)11-8-9-6-4-5-7-10(9)12-11/h4-8,12H,1-3H3",indole
"InChI=1S/C11H15NSi/c1-13(2,3)11-8-9-6-4-5-7-10(9)12-11/h4-8,12H,1-3H3",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
